Date,Longitude,Latitude,Depth,Magnitude
06/02/2023 23:56:02,37.51,37.976,11.7,3.9
06/02/2023 23:54:15,36.667,38.069,6.98,3.8
06/02/2023 23:49:55,36.081,36.248,7.62,3.7
06/02/2023 23:45:43,37.175,38.054,6.99,3.7
06/02/2023 23:36:24,37.151,38.221,7,3.8
06/02/2023 23:32:04,38.236,38.076,7.01,4
06/02/2023 23:30:06,36.584,37.97,7.29,3.9
06/02/2023 23:29:15,35.438,35.627,32.91,4.5
06/02/2023 23:21:06,37.207,38.168,7.09,3.9
06/02/2023 23:17:11,36.527,38.018,6.68,3.5
06/02/2023 23:13:27,37.468,38.002,7.01,4.2
06/02/2023 23:11:38,37.127,38.074,5.7,3.5
06/02/2023 23:01:55,37.804,38.12,7.01,3.5
06/02/2023 22:55:26,36.642,37.936,6.79,4
06/02/2023 22:51:17,36.467,38.026,8.3,3.7
06/02/2023 22:45:03,37.343,37.623,7,3.7
06/02/2023 22:44:54,36.542,38.04,7,4
06/02/2023 22:42:01,38.539,38.161,6.96,3.5
06/02/2023 22:37:38,37.622,37.998,7.08,3.6
06/02/2023 22:34:20,37.459,37.98,7.5,3.8
06/02/2023 22:29:39,36.525,38.058,7.11,4.4
06/02/2023 22:28:07,37.609,38.052,8.24,3.7
06/02/2023 22:26:17,37.505,37.992,7.38,4.3
06/02/2023 22:23:35,37.411,38.06,3.47,3.6
06/02/2023 22:20:42,37.345,37.673,6.99,3.6
06/02/2023 22:14:01,37.401,38.027,6.95,3.7
06/02/2023 22:11:35,38.191,38.31,4.77,4.4
06/02/2023 22:09:50,36.921,38.077,6.93,4
06/02/2023 22:06:14,37.826,37.836,11.49,3.8
06/02/2023 22:04:42,37.236,37.524,4.65,3.9
06/02/2023 22:01:06,37.177,37.825,6.97,3.8
06/02/2023 21:57:43,36.52,38.049,3.8,4.8
06/02/2023 21:51:33,37.258,38.071,6.53,3.7
06/02/2023 21:41:26,36.565,38.008,6.86,4
06/02/2023 21:39:39,35.889,36.732,7.27,4.1
